Year,Age,Male,Female
1981,0,118511,112822
1981,1,117238,111600
1981,2,115994,110344
1981,3,116843,111565
1981,4,118169,112717
1981,5,119799,114258
1981,6,123112,117348
1981,7,127686,121368
1981,8,132249,126208
1981,9,138199,132828
1981,10,143544,138052
1981,11,140403,134673
1981,12,135874,130144
1981,13,132809,127251
1981,14,129238,123443
1981,15,128036,122323
1981,16,128451,123011
1981,17,131533,126160
1981,18,134888,129748
1981,19,136376,132187
1981,20,136836,133248
1981,21,135830,132267
1981,22,133383,130186
1981,23,131747,128242
1981,24,129746,126087
1981,25,128474,124691
1981,26,126671,123519
1981,27,124250,122079
1981,28,124378,122364
1981,29,124305,121904
1981,30,125228,122402
1981,31,125072,121623
1981,32,122392,119254
1981,33,122697,119555
1981,34,127476,123012
1981,35,120493,115905
1981,36,108465,104523
1981,37,104670,101115
1981,38,98091,94283
1981,39,93927,89726
1981,40,93599,89212
1981,41,89898,84996
1981,42,86610,82024
1981,43,84525,80858
1981,44,81265,77413
1981,45,79817,76072
1981,46,77173,73855
1981,47,74409,70666
1981,48,74182,70224
1981,49,74752,70707
1981,50,78108,74702
1981,51,79189,76006
1981,52,78522,74563
1981,53,79755,75917
1981,54,78540,75390
1981,55,77453,75447
1981,56,76668,75774
1981,57,74450,74137
1981,58,72515,73019
1981,59,71054,73019
1981,60,69564,74022
1981,61,64922,70297
1981,62,57463,62769
1981,63,53165,59743
1981,64,52982,59676
1981,65,53172,59920
1981,66,52608,59610
1981,67,51544,58672
1981,68,48619,56339
1981,69,45292,53610
1981,70,42638,52498
1981,71,39131,49496
1981,72,35617,45428
1981,73,32624,42904
1981,74,29634,39630
1981,75,27173,37077
1981,76,24626,34872
1981,77,21496,31429
1981,78,18668,28221
1981,79,16389,26006
1981,80,14674,25530
1981,81,13059,24508
1981,82,10547,20506
1981,83,8220,17245
1981,84,6906,15634
1981,85,5823,14062
1981,86,4870,12377
1981,87,4008,10380
1981,88,3232,8644
1981,89,2662,7288
1981,90,2124,6038
1981,91,1561,4755
1981,92,1141,3596
1981,93,856,2702
1981,94,588,1954
1981,95,417,1430
1981,96,296,1051
1981,97,178,667
1981,98,118,416
1981,99,84,311
1982,0,121462,115082
1982,1,120314,114709
1982,2,118356,112537
1982,3,117209,111308
1982,4,117984,112568
1982,5,119236,113689
1982,6,120882,115161
1982,7,124177,118272
1982,8,128749,122298
1982,9,133499,127219
1982,10,139491,133878
1982,11,144714,139054
1982,12,141475,135617
1982,13,136706,130833
1982,14,133590,127803
1982,15,129869,123939
1982,16,128494,122829
1982,17,129039,123719
1982,18,132320,126990
1982,19,135883,130734
1982,20,137473,133248
1982,21,138054,134336
1982,22,136925,133273
1982,23,134435,131116
1982,24,132791,129284
1982,25,130697,127346
1982,26,129679,126255
1982,27,127611,124891
1982,28,124895,123272
1982,29,125219,123701
1982,30,125082,123172
1982,31,125885,123584
1982,32,125990,123012
1982,33,123484,120505
1982,34,123900,120609
1982,35,129024,124219
1982,36,122104,117006
1982,37,109386,104957
1982,38,105372,101568
1982,39,99188,95236
1982,40,94659,90232
1982,41,93972,89258
1982,42,90442,85239
1982,43,86936,82155
1982,44,84711,80840
1982,45,81898,77844
1982,46,80482,76621
1982,47,77320,73921
1982,48,74414,70655
1982,49,74323,70475
1982,50,74657,70705
1982,51,77725,74268
1982,52,78955,75730
1982,53,78250,74345
1982,54,79213,75477
1982,55,78144,75200
1982,56,77196,75614
1982,57,76041,75603
1982,58,73610,73828
1982,59,71797,73057
1982,60,70378,72885
1982,61,68861,73631
1982,62,64063,69825
